title,link,qualified
IT Staff ( Network),https://www.jobstreet.co.id/id/job/it-staff-network-3846649?jobId=jobstreet-id-job-3846649&sectionRank=18&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Maximum 35 years old', 'Candidates must possess at least High School. Preferred Diploma / Bachelor', 'At least 2 - 5 years experiences in the relate field', 'Familiar and good knowledge about Network system (Hardware, administering and security)', 'Able to work as Team and high motivation', 'Have good knowledge of CCTV, fingerprint and door access']"
IT Infrastructure Lead,https://www.jobstreet.co.id/id/job/it-infrastructure-lead-3845491?jobId=jobstreet-id-job-3845491&sectionRank=19&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"[""Plan, direct and design Indomobil Finance's IT infrastructure."", 'Managing the team for network and hardware maintenance of application server software and Data Center.', 'Monitoring the maintenance and configuration of application server software and Data Center.', 'Perform problem solving for branch users and head office users regarding the network, as well as computer hardware and software.', 'Manage information technology and computer system.', 'Develop and maintain DRC.']"
IT Application Support Junior Supervisor,https://www.jobstreet.co.id/id/job/it-application-support-junior-supervisor-3846677?jobId=jobstreet-id-job-3846677&sectionRank=20&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Melakukan instalasi dan konfigurasi aplikasi\xa0(yang telah di serahterimakan dari BA & Development ke Team Application Support), baik yang berlokasi di kantor pusat ataupun di outlet maupun depo', 'Memastikan berjalannya penggunaan aplikasi sistem informasi terkait operasional sehari-hari dalam bisnis perusahaan', 'Memonitoring atas request yang disubmit (SLA dan troubleshoot)', 'Menerima Issue dari user melalui Web Ticketing System maupun Non Ticketing.', 'Monitoring Laporan Daily Log dari Team Application Support']"
IT STAFF / IT ERP,https://www.jobstreet.co.id/id/job/it-staff-it-erp-3842039?jobId=jobstreet-id-job-3842039&sectionRank=21&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Lokasi kerja strategis', 'Transportasi mudah dijangkau', 'Lingkungan kerja menyenangkan']"
IT MANAGER,https://www.jobstreet.co.id/id/job/it-manager-3845402?jobId=jobstreet-id-job-3845402&sectionRank=22&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"[""Determining strategies, planning, organizing, directing, monitoring, and evaluating activities for developing information and communication technology infrastructure to support the company's business needs"", 'Review, develop, monitor and evaluate existing application systems and reporting systems based on business processes and company goals', 'Review, develop, monitor and evaluate all functions of the IT Department', 'Planning and realizing the budget in the IT Department']"
IT Helpdesk/Hardware,https://www.jobstreet.co.id/id/job/it-helpdesk-hardware-3842584?jobId=jobstreet-id-job-3842584&sectionRank=23&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Diploma, Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent."", 'Required language(s):\xa0English', 'At least 3\xa0Year(s) of working experience in the related field is required for this position.', 'Required Skill(s): Laptop and Desktop Management, Network Security, Technical Support, Troubleshooting, Windows OS, Microsoft Office, Linux OS, WAN, LAN, CISCO', 'Able to work under pressure', 'Experience in working with expatriates is preferable\xa0', 'Preferably Supervisor/Coordinator specialized in IT/Computer - Hardware or equivalent.']"
IT Infrastructure,https://www.jobstreet.co.id/id/job/it-infrastructure-3845705?jobId=jobstreet-id-job-3845705&sectionRank=24&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,[]
IT Audit Staff,https://www.jobstreet.co.id/id/job/it-audit-staff-3845586?jobId=jobstreet-id-job-3845586&sectionRank=25&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Pendidikan minimal S1 dengan minimal IPK 3.00', 'Background Pendidikan: Ilmu Komputer / Sistem Informasi / Teknologi Informatika', 'Memahami teknik komputerisasi dan pemeriksaan hardware dan software', 'Menguasai SQL, Visual Basic, PHP, .Net, Microsoft Access', 'Penempatan di kantor pusat, Wisma BCA Pondok indah.', 'Fresh Graduate atau maks pengalaman 1 Tahun', 'Hanya kandidat yang memenuhi persyaratan di atas yang akan diproses lebih lanjut.']"
TECHNICAL SUPPORT OFFICER,https://www.jobstreet.co.id/id/job/technical-support-officer-3845584?jobId=jobstreet-id-job-3845584&sectionRank=26&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,[]
Staff System Analyst & QC Application,https://www.jobstreet.co.id/id/job/staff-system-analyst-qc-application-3845150?jobId=jobstreet-id-job-3845150&sectionRank=27&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Support applications that have been made', 'Conduct internal testing for applications to be published', 'Assist in making document specifications, modifications or making programs', 'Make a tutorial application system that has been made']"
IT Staff (Junior Programmer) (027),https://www.jobstreet.co.id/id/job/it-staff-junior-programmer-027-3846212?jobId=jobstreet-id-job-3846212&sectionRank=28&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Mengembangkan perangkat lunak / sistem dengan melakukan coding dengan bahasa pemrograman.', 'Mengimplementasikan, mengkonfigurasi dan me-maintain perangkat lunak / system.', 'Melakukan pengujian (testing) dan debugging terhadap perangkat lunak / system.', 'Melakukan Support Hardware dan Software.']"
IT Network Hardware and Software,https://www.jobstreet.co.id/id/job/it-network-hardware-and-software-3845758?jobId=jobstreet-id-job-3845758&sectionRank=29&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Internship / magang.', 'Working hours full time and working day.', 'SMK / Bachelor degree in information technology related field of study with a network engineering focus.', 'Strong understanding of network infrastructure and network hardware.', 'Ability to think through problems and visualize solutions.', 'Ability to implement, administer, and troubleshoot network infrastructure devices, including wireless access points, firewall, routers, switches, controllers.', 'Knowledge of application transport and network infrastructure protocols.', 'Ability to create accurate network diagrams and documentation for design and planning network communication systems.', 'Provides specific detailed information for hardware and software selection.', 'Ability to quickly learn new or unfamiliar technology and products using documentation and internet resources.', 'Ability to work with all levels of staff within and outside of IT and outside the organization.', 'A self-starter able to work independently but comfortable working in a team environment.', 'Good analytical and problem-solving skills.', 'Dependable and flexible when necessary.', 'Network security experience.', 'LAN and WAN experience.']"
IT SUPPORT (MM),https://www.jobstreet.co.id/id/job/it-support-mm-3843729?jobId=jobstreet-id-job-3843729&sectionRank=30&token=0~0ba00ebe-6ef8-4ebd-8328-e9dcabe09e51&fr=SRP%20Job%20Listing,"['Minimum pendidikan S1 Teknik Informatika, Teknik Komputer, Ilmu Komputer', 'Usia max 30 Tahun', 'Memiliki pengalaman 1-2 tahun dalam bidang yang sama merupakan keunggulan (terbuka untuk fresh graduate)', 'Memiliki kemampuan dalam mengoperasikan Polycom', 'Memiliki kemampuan dalam mengoperasikan aplikasi design seperti Adobe Photosop, Adobe Illustrator, dan Corel Draw', 'Bersedia bekerja pada hari Senin - Sabtu']"
IT - Network Specialist,https://www.jobstreet.co.id/id/job/it-network-specialist-3832482?jobId=jobstreet-id-job-3832482&sectionRank=271&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Analyze and troubleshoot network security problems remotely and on-site', 'Perform installation, maintenance and configuration', 'Performing configuration, Implementation, Integration an maintain all network security platform and any other related software, such as firewalls, Intrusion Prevention Systems, Anti-Spam, Web Proxy. load Balancing, VPN, Network Monitoring Systems, and other network security platforms', 'Plan and appraise ongoing assessment of firewall policy, VPN, SSL, Intrusion prevention, web filtering, and other network component policies', 'Making technical report\xa0']"
IT Field Staff (Surabaya),https://www.jobstreet.co.id/id/job/it-field-staff-surabaya-3840609?jobId=jobstreet-id-job-3840609&sectionRank=272&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Melakukan instalasi beserta pengaturan software dan hardware majoo.', 'Memberikan edukasi (training) kepada staff / manager/ owner mengenai cara penggunaan sistem aplikasi majoo secara komperhensif.', 'Penempatan Surabaya']"
Senior Application Development,https://www.jobstreet.co.id/id/job/senior-application-development-3833426?jobId=jobstreet-id-job-3833426&sectionRank=273&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,['\nPENGUMUMAN :\n\nPT Sinar Roda Utama tidak pernah memungut biaya apapun dalam proses rekrutmen.\nPT Sinar Roda Utama tidak pernah bekerja sama dengan travel agent / biro perjalanan tertentu dalam proses rekrutmen.\nApabila Anda diminta untuk membayar sejumlah uang dalam bentuk pembayaran tiket pesawat dan hotel atau akomodasi lainnya agar diabaikan.\nJangan memberikan data pribadi atau data keuangan Anda kepada siapapun.\nJika membutuhkan klarifikasi lebih lanjut dapat langsung menghubungi\xa0PT Sinar Roda Utama\n']
Web Developer (Code: DEV),https://www.jobstreet.co.id/id/job/web-developer-code%3A-dev-3844363?jobId=jobstreet-id-job-3844363&sectionRank=274&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Degree in Computer Science or Engineering', 'Minimum has one year of working experience in related field\xa0', 'Strong organizational and project management skills.', 'Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.', 'Proficiency with server-side languages such as Java, PHP', 'Familiarity with database technology such as MySQL,PostgreSQL and Oracle', 'Familiarity with Laravel Frameworks', 'Familiarity with Restful API', 'Excellent verbal communication skills.', 'Work location in Bandung']"
Backend Developer (Golang),https://www.jobstreet.co.id/id/job/backend-developer-golang-3827570?jobId=jobstreet-id-job-3827570&sectionRank=275&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Top HRIS Company in Indonesia', 'Great Opportunity to Collaborate with International Developers', 'Attractive Benefits']"
JUNIOR ENGINEER (NOC),https://www.jobstreet.co.id/id/job/junior-engineer-noc-3842997?jobId=jobstreet-id-job-3842997&sectionRank=276&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,[]
Front End Engineer,https://www.jobstreet.co.id/id/job/front-end-engineer-3846425?jobId=jobstreet-id-job-3846425&sectionRank=277&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Work client-side code for web -based applications', 'Create fast, easy-to-use, high volume production applications', 'Develop prototypes quickly']"
Junior DevOps,https://www.jobstreet.co.id/id/job/junior-devops-3827983?jobId=jobstreet-id-job-3827983&sectionRank=278&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Majored in IT or related fields.', 'Freshgraduate are welcome', 'Dev- Operation\xa0Experience in Linux', 'installation, configuration and troubleshooting on Linux operating systems\xa0', 'Monitoring tools like (Prometheus, Elastic, Kibana, Etc )\xa0', 'Have strong knowledge about microservice architecture\xa0', 'Have strong knowledge in bash script\xa0', 'Managing container service and container orchestration (Docker and Kubernetes)', 'Managing CICD tools GitHub', 'Having knowledge about cloud computing technology\xa0', 'Willing to learn and adopt new technology']"
PHP Developer,https://www.jobstreet.co.id/id/job/php-developer-3846357?jobId=jobstreet-id-job-3846357&sectionRank=279&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Understanding and implement requirement of business users', 'Developing, analyzing and managing PHP Web Application and supporting tools', 'Testing application before handover to QA team', 'Developing application from scratch or exiting PHP framework', 'Designing database if needed for development', 'Coordinating with project team to achieve project performance target', 'Ensuring software run smoothly by user']"
Full Stack Developer,https://www.jobstreet.co.id/id/job/full-stack-developer-3827225?jobId=jobstreet-id-job-3827225&sectionRank=280&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['\n\tSumber daya manusia adalah salah satu faktor yang sangat penting bahkan tidak dapat dilepaskan dari sebuah organisasi, baik institusi maupun perusahaan. SDM juga merupakan kunci yang menentukan perkembangan perusahaan. Untuk ituDewa Utd Indonesia\xa0saat ini sedang membutuhkan\xa0Chief Marketing Officer\xa0yang dapat bekerja sama dengan kami. Dan\xa0kami mengajak para kandidat Jobstreet untuk segera bergabung.']"
Backend Web Developer,https://www.jobstreet.co.id/id/job/backend-web-developer-3844046?jobId=jobstreet-id-job-3844046&sectionRank=281&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Bachelor Degree from Computer Science, Engineering or equivalent', 'Proficient verbal and written communication skills in English', 'Have knowledge in unit testing', 'Good understanding of user-friendly experience & interface, pay attention to details, and proficiency in HTML5, CSS3, for collaborating with UI/UX designer', 'Extensive knowledge in using RESTful API and PostgreSQL', 'Experience in responsive web and Progressive Web App (PWA)', 'Collaborate with other data scientists/engineers, subject matter experts, sales, and delivery teams', 'Have design thinking, problem solving skills and willingness to learn']"
Jr Programmer,https://www.jobstreet.co.id/id/job/jr-programmer-3843752?jobId=jobstreet-id-job-3843752&sectionRank=282&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['gaji dan tunjangan kompetitif', 'lingkungan kerja yang menyenangkan', 'kesempatan pengembangan karir yang terbuka']"
IT Software Engineer,https://www.jobstreet.co.id/id/job/it-software-engineer-3833593?jobId=jobstreet-id-job-3833593&sectionRank=283&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Analyze user requirements and develops functional specifications or system design specifications based on user’s expectation', 'Ensures issues are identified, tracked, reported on and resolved in a timely manner.', 'Software or solution development, testing and deployment', 'Work with related department or user to identify required changes and manages user’s expectations effectively', 'Monitoring system performance, troubleshooting and debugging', 'Identifies current system strengths and weaknesses to suggest areas of improvement.', 'Interact with related users and vendors for implementation issues']"
IT Security Assistant Manager,https://www.jobstreet.co.id/id/job/it-security-assistant-manager-3834128?jobId=jobstreet-id-job-3834128&sectionRank=284&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"[""Candidate must possess at least a Bachelor's Degree, Engineering (Computer/Telecommunication) or equivalent."", 'At least 5 year(s) of working experience in the related field is required for this position.', 'Preferably Manager / Assistant Managers specializing in IT/Computer - Software or equivalent.', 'Full-Time position(s) available.']"
NETWORK ENGINEER,https://www.jobstreet.co.id/id/job/network-engineer-3844521?jobId=jobstreet-id-job-3844521&sectionRank=285&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['\n\nBangun Putra Pesaka has the expertise, facilities and services to meet the needs of all air freight users, both importers and exporters. Our experienced operations specialists offer efficient and professional services with an assurance of prompt delivery of cargo to major destinations throughout the world.\n\nBangun Putra Pesaka confidence and expertise in assuring firm space allocations firmly based on its close rapport with the major airlines during normal critical / peak times. Our very competitive rate structure has added to its reputation for service excellence world-wide.\n']"
Senior System Engineer,https://www.jobstreet.co.id/id/job/senior-system-engineer-3846601?jobId=jobstreet-id-job-3846601&sectionRank=286&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Diploma, Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent."", 'Required language(s):\xa0Bahasa Indonesia, English (Oral & Written)', 'At least 4\xa0Year(s) of working experience in the related field is required for this position.', 'Required Skill(s):']"
Solution Architect,https://www.jobstreet.co.id/id/job/solution-architect-3846647?jobId=jobstreet-id-job-3846647&sectionRank=287&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"[""Bachelor's degree in Computer Science, Engineering, or Mathematics and have a minimum 4 - 5 years of working experience"", 'Excellent communication skills both verbal and written', 'Specialist knowledge on how specific infrastructures and application software are deployed in line with relevant methodologies and frameworks', 'Solid experience in integrating the solution for the particular project with the business domain, enterprise concerns, industry standards, established patterns and best practices', 'Experienced and fluent with AWS or GCP Platform', 'Advanced knowledge of leading architecture solutions in the industry area']"
IT Engineer,https://www.jobstreet.co.id/id/job/it-engineer-3833144?jobId=jobstreet-id-job-3833144&sectionRank=288&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Bachelor degree in Telecommunication, Electrical Engineering or Computer engineering (IT).', 'Minimal 3 years’ experience in related industry .\xa0', 'Good communication and presentation skills in Bahasa Indonesia and English & Chinese Fluent preferred', 'Understand basic knowledge about telecommunications (4G&3G Network Architecture, NFV Architecture).', 'Familiarity with OS systems Linux, Virtualization, Cloud Computing, Server, storage, switch/ router , backup server', 'Can develop with PHP, C & Java programming', 'Knowledge of LAN , wireless networks and network protocols', 'Knowledge of database, system redundancy, and networking security systems', 'Experience on analysis of system performance .i.e Bandwidth, IO, IOPS, CPU, Memory/Cache, IO Size, etc', 'Good analytical skills, detail-oriented & strong communication skills to be able to communicate to different level of counterparts', 'Fast learner, ability to learn, and evaluating new technology', 'Capability to build relationship with customer', 'A team player, target oriented and open-minded.', 'Highly self-motivated']"
Business Intelligence,https://www.jobstreet.co.id/id/job/business-intelligence-3846738?jobId=jobstreet-id-job-3846738&sectionRank=289&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"[""Candidate must possess at least a Bachelor's Degree, Computer Science/Information Technology or equivalent."", 'At least 2 year(s) of working experience in the related field is required for this position.', 'Preferably Staff (non-management & non-supervisor)s specializing in IT/Computer - Software or equivalent.', 'Must have proven work experienced in logical database modeling and physical database design', 'Must have proven work experienced in Datawarehouse project and business intelligence project.', 'Must have proven work experienced using tools SSIS, SSAS and SSRS.', 'Excellent analytical and problem solving skills.', 'Involved in all aspects of the development lifecycle, including development, deployment, warranty and post-warranty bug fixes.', 'Conduct analysis and problem solving of data accuracy, data dependency, performance data load, reporting function', 'Develop Technical Documentation & Report according to SOP, accurately and on time schedule.', 'Displays strong teamwork and interpersonal skills with the ability to communicate to team and business']"
IT Planning Specialist,https://www.jobstreet.co.id/id/job/it-planning-specialist-3842964?jobId=jobstreet-id-job-3842964&sectionRank=290&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Communicating with stakeholders, gathering requirements, and making these requirements comprehensible in order to ensure that the end products will solve the business problems.', ""Manage the changes of the project scope in order to effectively meet the stakeholders' requirements."", 'Develop and implement the specific technology and architecture necessary to deliver business solutions.', 'Assist user to manage, prioritize and determine the strategy of IT application solution and support which will bring the best benefit for the business.', 'Analyze and reviews business processes in order to gain a complete understanding of current procedures,identify improvements, document those processes, and connect business people to information technology groups within Bina Nusantara.', 'Ensure effective coordination of user acceptance testing (as required).', 'Build strong and effective cooperation which support the overall objectives of the department.', 'Ensure excellent operational process and service for all stakeholders']"
